gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
SLAMF1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.800,5.92e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SP140,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.800,5.25e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
XAF1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.800,8.16e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
BCL2A1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,1.53e-09,normal; injection of interferon gamma,normal; none,
ETV7,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,1.44e-10,normal; injection of interferon gamma,normal; none,
IFIT5,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,6.61e-10,normal; injection of interferon gamma,normal; none,GO:0009615
PARP12,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,9.97e-11,normal; injection of interferon gamma,normal; none,GO:0009615
SAMHD1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,6.58e-08,normal; injection of interferon gamma,normal; none,GO:0009615
SNX10,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.800,4.71e-10,normal; injection of interferon gamma,normal; none,
ETV7,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.800,1.33e-10,psoriasis; injection of interferon gamma,psoriasis; none,
IL15,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.800,1.59e-11,psoriasis; injection of interferon gamma,psoriasis; none,
NMI,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.800,1.29e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SNX10,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.800,8.31e-10,psoriasis; injection of interferon gamma,psoriasis; none,
SP110,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.800,2.16e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
ARSF,E-GEOD-41745,'lesional' vs 'non-lesional',2.800,1.30e-14,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CYP24A1,E-GEOD-30999,'lesional' vs 'non-lesional',2.800,1.40e-45,lesional,non-lesional,
S100A7A,E-GEOD-41745,'lesional' vs 'non-lesional',2.800,3.28e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR1A,E-GEOD-41745,'lesional' vs 'non-lesional',2.800,2.05e-22,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AL603756.1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.800,4.97e-15,0 day; lesional; none,0 day; non-lesional; none,
IL36RN,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.800,9.46e-13,0 day; lesional; none,0 day; non-lesional; none,
LINC01215,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.800,4.54e-15,0 day; lesional; none,0 day; non-lesional; none,
RP11-338I21.1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.800,4.97e-15,0 day; lesional; none,0 day; non-lesional; none,
TGM1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.800,2.92e-16,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
